🇨🇳央视频道🇨🇳,#genre#
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226008/index.m3u8
CCTV9,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8
CCTV10,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225730/index.m3u8
CCTV11,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225597/index.m3u8
CCTV12,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225731/index.m3u8
CCTV13,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226011/index.m3u8
CCTV14,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225732/index.m3u8
CCTV15,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225601/index.m3u8
CCTV16,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226100/index.m3u8
CCTV17,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225765/index.m3u8
CCTV1,http://114.252.236.205:8000/rtp/239.3.1.129:8008
CCTV1,http://114.243.110.0:4000/rtp/239.3.1.129:8008$dsj
CCTV1,http://123.122.162.7:19999/udp/239.3.1.129:8008
CCTV1,http://221.219.79.161:4000/rtp/239.3.1.129:8008$dsj
CCTV1,http://60.7.56.33:4000/udp/239.253.92.83:8012
CCTV1,http://123.113.187.204:8000/rtp/239.3.1.129:8008$组播源
CCTV1,http://60.2.190.206:4000/udp/239.253.92.83:8012
CCTV1,http://114.252.238.87:8000/rtp/239.3.1.129:8008
CCTV1,http://60.7.56.33:4000/rtp/239.253.92.83:8012
CCTV1,http://www.erbao1981.top:8188/udp/239.76.253.151:9000
CCTV1,http://113.65.9.20:4014/udp/239.77.1.17:5146
CCTV1,http://114.243.110.0:4000/rtp/239.3.1.129:8008$组播源
CCTV1,http://itms.xznet.org:41097/rtp/239.254.200.45:8008$1920x1080
CCTV1,http://222.95.92.12:4000/rtp/239.49.8.129:6000$1920x1080
CCTV1,http://221.222.162.206:8888/rtp/239.3.1.129:8008$组播源
CCTV1,http://171.107.73.129:4000/udp/239.81.0.13:4056
CCTV1,http://sweetown.fun:4000/rtp/239.3.1.129:8008
CCTV1,http://123.113.187.204:8000/udp/239.3.1.129:8008
CCTV1,http://221.219.79.161:4000/udp/239.3.1.129:8008
CCTV1,http://171.213.140.54:8123/udp/239.93.0.184:5140
CCTV1,http://sweetown.fun:4000/rtp/239.3.1.129:8008$1920x1080
CCTV1,http://61.145.208.25:9090/udp/239.77.1.17:5146
CCTV1,http://60.7.56.33:4000/rtp/239.253.92.83:8012$1920x1080
CCTV1,http://221.219.79.161:4000/rtp/239.3.1.129:8008$组播源
CCTV1,http://221.219.79.161:4000/rtp/239.3.1.129:8008
CCTV1,http://114.252.239.133:9876/udp/239.3.1.129:8008
CCTV1,http://60.2.190.206:4000/rtp/239.253.92.83:8012
CCTV1,http://125.82.168.238:8888/rtp/235.254.198.1:1280$组播源
CCTV1,http://221.222.162.206:8888/rtp/239.3.1.129:8008
CCTV1,http://114.243.110.0:4000/rtp/239.3.1.129:8008
CCTV1,http://nas.tuyuannet.cn:8800/rtp/239.37.0.8:5540
CCTV1,http://222.95.92.12:4000/rtp/239.49.8.129:6000
CCTV1,http://125.82.171.210:8888/rtp/235.254.198.51:1480$组播源
CCTV1,http://123.117.174.237:30000/rtp/239.3.1.129:8008$组播源
CCTV1,http://111.196.129.152:20000/rtp/239.3.1.129:8008
CCTV1,http://www.lebaobei.top:6868/rtp/239.255.30.101:8231
CCTV1,http://114.252.238.87:8000/udp/239.3.1.129:8008
CCTV1,http://123.113.187.204:8000/rtp/239.3.1.129:8008
CCTV1,http://221.219.96.192:8012/rtp/239.3.1.129:8008?$北京联通
CCTV1,http://123.117.174.237:30000/rtp/239.3.1.129:8008
CCTV1,http://nas.tuyuannet.cn:8800/rtp/239.37.0.150:5540
CCTV1,http://111.196.129.152:20000/udp/239.3.1.129:8008
CCTV1,http://ikuai.zlsip.top:4022/rtp/239.3.1.129:8008
CCTV1,http://171.107.73.129:4000/udp/239.81.0.102:4056
CCTV1,http://125.82.168.238:8888/rtp/235.254.198.51:1480$组播源
CCTV1,http://218.241.192.50:8808/rtp/239.3.1.129:8008
CCTV1,http://123.56.129.203:5431/rtp/225.1.8.1:8008
CCTV1,http://ha.xushining.com:50000/udp/225.1.1.120:5002
CCTV1,http://123.56.129.203:5431/rtp/225.1.8.101:8080
CCTV1,http://222.95.92.12:4000/rtp/239.49.1.1:6000$江苏电信组播源
CCTV1,http://111.196.129.152:20000/rtp/239.3.1.129:8008$组播源
CCTV1,http://123.157.31.182:7912/rtp/233.50.201.118:5140$组播源
CCTV1,http://14.19.168.64:4022/udp/239.77.1.17:5146
CCTV2,http://sweetown.fun:4000/rtp/239.3.1.60:8084$1920x1080
CCTV2,http://60.7.56.33:4000/rtp/239.253.92.190:6065$1920x1080
CCTV2,http://60.2.190.206:4000/rtp/239.253.92.190:6065
CCTV2,http://222.95.92.12:4000/rtp/239.49.1.2:6000$江苏电信组播源
CCTV2,http://221.222.162.206:8888/rtp/239.3.1.60:8084
CCTV2,http://221.219.79.161:4000/rtp/239.3.1.60:8084$组播源
CCTV2,http://123.157.31.182:7912/rtp/233.50.201.119:5140$组播源
CCTV2,http://222.95.92.12:4000/rtp/239.49.1.2:6000
CCTV2,http://111.196.129.152:20000/rtp/239.3.1.60:8084
CCTV2,http://60.7.56.33:4000/udp/239.253.92.190:6065
CCTV2,http://123.117.237.15:8680/rtp/239.3.1.60:8084
CCTV2,http://114.252.238.87:8000/rtp/239.3.1.60:8084
CCTV2,http://114.243.110.0:4000/rtp/239.3.1.60:8084$dsj
CCTV2,http://123.122.163.183:19999/udp/239.3.1.60:8084
CCTV2,http://114.243.110.0:4000/rtp/239.3.1.60:8084$组播源
CCTV2,http://111.196.129.152:20000/udp/239.3.1.60:8084
CCTV2,http://221.219.96.192:8012/rtp/239.3.1.60:8084?$北京联通
CCTV2,http://123.56.129.203:5431/rtp/225.1.8.2:8084
CCTV2,http://123.56.129.203:5431/rtp/225.1.8.102:8004
CCTV2,http://114.243.110.0:4000/rtp/239.3.1.60:8084
CCTV2,http://123.117.174.237:30000/rtp/239.3.1.60:8084
CCTV2,http://113.65.9.20:4014/udp/239.77.1.158:5146
CCTV2,http://218.241.192.50:8808/rtp/239.3.1.60:8084
CCTV2,http://ha.xushining.com:50000/udp/225.1.1.133:5002
CCTV2,http://221.219.79.161:4000/rtp/239.3.1.60:8084$dsj
CCTV2,http://ikuai.zlsip.top:4022/rtp/239.3.1.60:8084
CCTV2,http://221.219.79.161:4000/rtp/239.3.1.60:8084
CCTV2,http://183.17.236.187:8888/udp/239.77.1.158:5146
CCTV2,http://sweetown.fun:4000/rtp/239.3.1.60:8084
CCTV2,http://60.2.190.206:4000/udp/239.253.92.190:6065
CCTV2,http://171.107.73.129:4000/udp/239.81.0.14:4056
CCTV2,http://221.219.79.161:4000/udp/239.3.1.60:8084
CCTV2,http://www.erbao1981.top:8188/udp/239.76.253.152:9000
CCTV2,http://221.222.162.206:8888/rtp/239.3.1.60:8084$组播源
CCTV2,http://123.122.163.183:19999/rtp/239.3.1.60:8084
CCTV2,http://125.82.168.238:8888/rtp/235.254.198.2:1284$组播源
CCTV2,http://60.2.190.206:4000/udp/239.253.92.190:6065$订阅源
CCTV2,http://123.113.187.204:8000/rtp/239.3.1.60:8084$组播源
CCTV2,http://123.113.187.204:8000/rtp/239.3.1.60:8084
CCTV2,http://125.82.171.210:8888/rtp/235.254.198.52:1484$组播源
CCTV2,http://114.252.238.87:8000/udp/239.3.1.60:8084
CCTV2,http://123.113.187.204:8000/udp/239.3.1.60:8084
CCTV2,http://14.19.168.64:4022/udp/239.77.1.158:5146
CCTV2,http://61.145.208.25:9090/udp/239.77.1.158:5146
CCTV2,http://60.7.56.33:4000/rtp/239.253.92.190:6065
CCTV2,http://171.107.73.129:4000/udp/239.81.0.115:4056
CCTV2,http://114.252.239.133:9876/udp/239.3.1.60:8084
CCTV2,http://114.252.236.205:8000/rtp/239.3.1.60:8084
CCTV2,http://111.196.191.248:5555/rtp/239.3.1.60:8084
CCTV2,http://114.252.238.87:8000/rtp/239.3.1.60:8084$组播源
CCTV3,http://114.243.110.0:4000/rtp/239.3.1.172:8001
CCTV3,http://111.196.129.152:20000/rtp/239.3.1.172:8001$组播源
CCTV3,http://sweetown.fun:4000/rtp/239.3.1.172:8001
CCTV3,http://111.196.129.152:20000/udp/239.3.1.172:8001
CCTV3,http://60.7.56.33:4000/rtp/239.253.92.191:6057$组播源
CCTV3,http://sweetown.fun:4000/rtp/239.3.1.172:8001$1920x1080
CCTV3,http://itms.xznet.org:41097/rtp/239.254.200.13:6000
CCTV3,http://123.122.163.183:19999/udp/239.3.1.172:8001
CCTV3,http://221.219.79.161:4000/rtp/239.3.1.172:8001$dsj
CCTV3,http://183.17.236.187:8888/udp/239.77.0.169:5146
CCTV3,http://221.222.162.206:8888/rtp/239.3.1.172:8001
CCTV3,http://111.196.191.248:5555/rtp/239.3.1.172:8001
CCTV3,http://61.145.208.25:9090/udp/239.77.0.169:5146
CCTV3,http://218.241.192.50:8808/rtp/239.3.1.172:8001
CCTV3,http://www.erbao1981.top:8188/udp/239.76.253.153:9000
CCTV3,http://114.252.238.87:8000/rtp/239.3.1.172:8001
CCTV3,http://nas.tuyuannet.cn:8800/rtp/239.37.0.231:5540
CCTV3,http://171.107.73.129:4000/udp/239.81.0.231:4056
CCTV3,http://ikuai.zlsip.top:4022/rtp/239.3.1.172:8001
CCTV3,http://111.196.129.152:20000/rtp/239.3.1.172:8001
CCTV3,http://114.243.110.0:4000/rtp/239.3.1.172:8001$dsj
CCTV3,http://114.252.238.87:8000/udp/239.3.1.172:8001
CCTV3,http://221.219.96.192:8012/rtp/239.3.1.172:8001?$北京联通
CCTV3,http://60.7.56.33:4000/rtp/239.253.92.191:6057
CCTV3,http://114.252.236.205:8000/rtp/239.3.1.172:8001
CCTV3,http://14.19.168.64:4022/udp/239.77.0.169:5146
CCTV3,http://221.219.79.161:4000/rtp/239.3.1.172:8001
CCTV3,http://123.117.237.15:8680/rtp/239.3.1.172:8001
CCTV3,http://60.2.190.206:4000/rtp/239.253.92.191:6057
CCTV3,http://123.56.129.203:5431/rtp/225.1.8.92:8000
CCTV3,http://ha.xushining.com:50000/udp/225.1.1.158:5002
CCTV3,http://60.7.56.33:4000/rtp/239.253.92.191:6057$1920x1080
CCTV3,http://221.219.79.161:4000/rtp/239.3.1.172:8001$组播源
CCTV3,http://123.113.187.204:8000/rtp/239.3.1.172:8001
CCTV3,http://113.65.9.20:4014/udp/239.77.0.169:5146
CCTV3,http://123.113.187.204:8000/udp/239.3.1.172:8001
CCTV3,http://60.7.56.33:4000/udp/239.253.92.191:6057
CCTV3,http://123.117.174.237:30000/rtp/239.3.1.172:8001
CCTV3,http://60.2.190.206:4000/udp/239.253.92.191:6057
CCTV3,http://123.122.163.183:19999/rtp/239.3.1.172:8001
CCTV3,http://114.252.239.133:9876/udp/239.3.1.172:8001
CCTV3,http://114.243.110.0:4000/rtp/239.3.1.172:8001$组播源
CCTV3,http://221.222.162.206:8888/rtp/239.3.1.172:8001$组播源
CCTV3,http://221.219.79.161:4000/udp/239.3.1.172:8001
CCTV3,http://123.56.129.203:5431/rtp/225.1.8.88:8000
CCTV3,http://123.157.31.182:7912/rtp/233.50.201.196:5140$组播源
CCTV3,http://125.82.168.238:8888/rtp/235.254.198.53:1488$组播源
CCTV4,http://114.243.110.0:4000/rtp/239.3.1.213:4220
CCTV4,http://114.252.239.133:9876/udp/239.3.1.105:8092
CCTV4,http://60.2.190.206:4000/rtp/239.253.92.251:6141$组播源
CCTV4,http://60.2.190.206:4000/rtp/239.253.93.192:6370
CCTV4,http://123.113.187.204:8000/udp/239.3.1.214:4220
CCTV4,http://114.252.238.87:8000/rtp/239.3.1.213:4220
CCTV4,http://114.252.238.87:8000/rtp/239.3.1.105:8092$组播源
CCTV4,http://114.252.238.87:8000/udp/239.3.1.214:4220
CCTV4,http://114.252.238.87:8000/rtp/239.3.1.214:4220
CCTV4,http://111.196.191.248:5555/rtp/239.3.1.105:8092
CCTV4,http://221.222.162.206:8888/rtp/239.3.1.213:4220$组播源
CCTV4,http://nas.tuyuannet.cn:8800/rtp/239.37.1.25:5540
CCTV4,http://111.196.129.152:20000/udp/239.3.1.105:8092
CCTV4,http://114.243.110.0:4000/rtp/239.3.1.105:8092$组播源
CCTV4,http://www.erbao1981.top:8188/udp/239.76.253.154:9000
CCTV4,http://221.219.79.161:4000/rtp/239.3.1.214:4220$组播源
CCTV4,http://114.252.239.133:9876/udp/239.3.1.213:4220
CCTV4,http://221.219.79.161:4000/rtp/239.3.1.105:8092$组播源
CCTV4,http://60.7.56.33:4000/udp/239.253.93.192:6370
CCTV4,http://123.117.174.237:30000/rtp/239.3.1.213:4220
CCTV4,http://123.113.187.204:8000/rtp/239.3.1.214:4220$组播源
CCTV4,http://nas.tuyuannet.cn:8800/rtp/239.37.1.11:5540
CCTV4,http://183.17.236.187:8888/udp/239.77.1.163:5146
CCTV4,http://125.82.171.210:8888/rtp/235.254.198.183:7980$组播源
CCTV4,http://114.252.238.87:8000/rtp/239.3.1.105:8092
CCTV4,http://123.117.174.237:30000/rtp/239.3.1.105:8092
CCTV4,http://221.219.79.161:4000/rtp/239.3.1.105:8092
CCTV4,http://sweetown.fun:4000/rtp/239.3.1.105:8092$1920x1080
CCTV4,http://123.122.163.183:19999/udp/239.3.1.105:8092
CCTV4,http://221.219.96.192:8012/rtp/239.3.1.214:4220?$北京联通
CCTV4,http://111.196.129.152:20000/rtp/239.3.1.213:4220
CCTV4,http://ikuai.zlsip.top:4022/rtp/239.3.1.213:4220
CCTV4,http://14.19.168.64:4022/udp/239.77.1.163:5146
CCTV4,http://113.65.9.20:4014/udp/239.77.1.163:5146
CCTV4,http://111.196.129.152:20000/udp/239.3.1.214:4220
CCTV4,http://114.252.239.133:9876/udp/239.3.1.214:4220
CCTV4,http://221.219.79.161:4000/udp/239.3.1.105:8092
CCTV4,http://123.113.187.204:8000/rtp/239.3.1.214:4220
CCTV4,http://sweetown.fun:4000/rtp/239.3.1.213:4220$1920x1080
CCTV4,http://111.196.129.152:20000/rtp/239.3.1.214:4220
CCTV4,http://171.107.73.129:4000/udp/239.81.0.96:4056
CCTV4,http://221.222.162.206:8888/rtp/239.3.1.213:4220
CCTV4,http://123.117.174.237:30000/rtp/239.3.1.214:4220
CCTV4,http://221.219.79.161:4000/rtp/239.3.1.214:4220
CCTV4,http://221.222.162.206:8888/rtp/239.3.1.214:4220
CCTV4,http://60.7.56.33:4000/rtp/239.253.93.192:6370
CCTV4,http://60.2.190.206:4000/udp/239.253.92.251:6141
CCTV4,http://ha.xushining.com:50000/udp/225.1.1.150:5002
CCTV4,http://171.107.73.129:4000/udp/239.81.0.16:4056
CCTV4,http://123.113.187.204:8000/rtp/239.3.1.213:4220
CCTV4,http://221.219.79.161:4000/rtp/239.3.1.213:4220
CCTV4,http://60.7.56.33:4000/rtp/239.253.92.251:6141
CCTV4,http://221.219.79.161:4000/udp/239.3.1.213:4220
CCTV4,http://114.243.110.0:4000/rtp/239.3.1.105:8092$dsj
CCTV4,http://www.erbao1981.top:8188/udp/239.76.253.95:9000
CCTV4,http://114.243.110.0:4000/rtp/239.3.1.214:4220
CCTV4,http://www.erbao1981.top:8188/udp/239.76.253.96:9000
CCTV4,http://221.219.96.192:8012/rtp/239.3.1.105:8092?$北京联通
CCTV4,http://sweetown.fun:4000/rtp/239.3.1.213:4220
CCTV4,http://221.219.79.161:4000/rtp/239.3.1.105:8092$dsj
CCTV4,http://123.113.187.204:8000/rtp/239.3.1.213:4220$组播源
CCTV4,http://114.243.110.0:4000/rtp/239.3.1.105:8092
CCTV4,http://114.252.236.205:8000/rtp/239.3.1.105:8092
CCTV4,http://60.7.56.33:4000/udp/239.253.93.193:6371
CCTV4,http://60.2.190.206:4000/rtp/239.253.93.193:6371$组播源
CCTV4,http://123.113.187.204:8000/rtp/239.3.1.105:8092
CCTV4,http://60.7.56.33:4000/udp/239.253.92.251:6141
CCTV4,http://123.113.187.204:8000/udp/239.3.1.213:4220
CCTV4,http://111.196.129.152:20000/rtp/239.3.1.105:8092$组播源
CCTV4,http://60.2.190.206:4000/udp/239.253.93.193:6371
CCTV4,http://114.252.238.87:8000/udp/239.3.1.105:8092
CCTV4,http://123.113.187.204:8000/udp/239.3.1.105:8092
CCTV4,http://222.95.92.12:4000/rtp/239.49.1.4:6000$江苏电信组播源
CCTV4,http://123.122.163.183:19999/udp/239.3.1.213:4220
CCTV4,http://114.243.110.0:4000/rtp/239.3.1.214:4220$组播源
CCTV4,http://221.219.79.161:4000/rtp/239.3.1.213:4220$组播源
CCTV4,http://111.196.129.152:20000/udp/239.3.1.213:4220
CCTV4,http://61.145.208.25:9090/udp/239.77.1.163:5146
CCTV4,http://123.56.129.203:5431/rtp/225.1.8.104:8216
CCTV4,http://60.2.190.206:4000/rtp/239.253.93.193:6371
CCTV4,http://ikuai.zlsip.top:4022/rtp/239.3.1.214:4220
CCTV4,http://60.2.190.206:4000/udp/239.253.93.192:6370
CCTV4,http://ikuai.zlsip.top:4022/rtp/239.3.1.105:8092
CCTV4,http://114.252.238.87:8000/udp/239.3.1.213:4220
CCTV4,http://nas.tuyuannet.cn:8800/rtp/239.37.1.12:5540
CCTV4,http://123.56.129.203:5431/rtp/225.1.8.4:8092
CCTV4,http://221.219.96.192:8012/rtp/239.3.1.213:4220?$北京联通
CCTV4,http://221.219.79.161:4000/udp/239.3.1.214:4220
CCTV4,http://221.222.162.206:8888/rtp/239.3.1.214:4220$组播源
CCTV4,http://111.196.129.152:20000/rtp/239.3.1.105:8092
CCTV4,http://60.2.190.206:4000/rtp/239.253.92.251:6141
CCTV5,http://111.196.191.248:5555/rtp/239.3.1.173:8001
CCTV5,http://123.56.129.203:5431/rtp/225.1.8.93:8000
CCTV5,http://60.2.190.206:4000/rtp/239.253.92.181:6046
CCTV5,http://222.95.92.12:4000/rtp/239.49.1.5:6000$江苏电信组播源
CCTV5,http://125.82.168.238:8888/rtp/235.254.198.142:1846$组播源
CCTV5,http://221.219.79.161:4000/udp/239.3.1.173:8001
CCTV5,http://221.219.96.192:8012/rtp/239.3.1.130:8004?$北京联通
CCTV5,http://125.82.168.238:8888/rtp/235.254.198.54:1492$组播源
CCTV5,http://sweetown.fun:4000/rtp/239.3.1.173:8001
CCTV5,http://114.243.110.0:4000/rtp/239.3.1.173:8001$dsj
CCTV5,http://123.113.187.204:8000/rtp/239.3.1.173:8001$组播源
CCTV5,http://111.196.129.152:20000/udp/239.3.1.173:8001
CCTV5,http://sweetown.fun:4000/rtp/239.3.1.173:8001$1920x1080
CCTV5,http://123.113.187.204:8000/udp/239.3.1.173:8001
CCTV5,http://60.2.190.206:4000/rtp/239.253.92.181:6046$组播源
CCTV5,http://114.252.238.87:8000/udp/239.3.1.173:8001
CCTV5,http://ha.xushining.com:50000/udp/225.1.1.160:5002
CCTV5,http://123.157.31.182:7912/rtp/233.50.201.197:5140$组播源
CCTV5,http://114.252.238.87:8000/rtp/239.3.1.173:8001
CCTV5,http://114.243.110.0:4000/rtp/239.3.1.173:8001
CCTV5,http://123.56.129.203:5431/rtp/225.1.8.89:8000
CCTV5,http://222.95.92.12:4000/rtp/239.49.9.32:6000
CCTV5,http://113.65.9.20:4014/udp/239.77.0.170:5146
CCTV5,http://218.241.192.50:8808/rtp/239.3.1.173:8001
CCTV5,http://221.219.79.161:4000/rtp/239.3.1.173:8001$组播源
CCTV5,http://61.145.208.25:9090/udp/239.77.0.170:5146
CCTV5,http://60.7.56.33:4000/rtp/239.253.92.181:6046$1920x1080
CCTV5,http://www.erbao1981.top:8188/udp/239.76.253.155:9000
CCTV5,http://xeace.cn:8888/rtp/239.93.42.37:5140$组播源
CCTV5,http://60.7.56.33:4000/rtp/239.253.92.181:6046
CCTV5,http://221.219.79.161:4000/rtp/239.3.1.173:8001$dsj
CCTV5,http://111.196.129.152:20000/rtp/239.3.1.173:8001
CCTV5,http://123.117.174.237:30000/rtp/239.3.1.173:8001$组播源
CCTV5,http://221.219.96.192:8012/rtp/239.3.1.173:8001?$北京联通
CCTV5,http://123.56.129.203:5431/rtp/225.1.8.93:8000$组播源
CCTV5,http://114.252.238.87:8000/rtp/239.3.1.173:8001$组播源
CCTV5,http://60.7.56.33:4000/udp/239.253.92.181:6046
CCTV5,http://123.122.162.7:19999/udp/239.3.1.173:8001
CCTV5,http://171.107.73.129:4000/udp/239.81.0.232:4056
CCTV5,http://60.7.56.33:4000/rtp/239.253.92.181:6046$组播源
CCTV5,http://14.19.168.64:4022/udp/239.77.0.170:5146
CCTV5,http://123.117.174.237:30000/rtp/239.3.1.173:8001
